"year","doy","interval_number","mgmt_river","cumulative_production","cumulative_percent_of_unit","overall_percent","fish_count_cumulative"
2017,185,10,"Stony",40829.4067129574,79.3121487057799,11.4704188729476,198
2017,188,11,"Stony",44078.2716789531,85.6231505559801,11.5818496926811,213
2017,191,12,"Stony",46134.3009586852,89.6170391060628,11.5764534086469,224
2017,194,13,"Stony",48422.5486352055,94.0620177282537,11.5491448128317,240
2017,197,14,"Stony",50036.9168995007,97.1979686555798,11.5140608207653,249
2017,200,15,"Stony",51479.3854147365,100,11.5167962320018,256
2017,158,1,"Holitna",202.017606642005,0.449843191863798,5.58236351580575,1
2017,161,2,"Holitna",800.788898691929,1.78315860772985,8.8467191002584,4
2017,164,3,"Holitna",2140.08826978534,4.7654467061206,9.40647600150528,12
2017,167,4,"Holitna",3975.07956844825,8.85151799739975,8.18689589022262,26
2017,170,5,"Holitna",8959.8733364431,19.9514195191086,10.2287498968416,48
2017,173,6,"Holitna",13950.4769380583,31.0642581018163,10.1285781284449,73
2017,176,7,"Holitna",19261.4717729943,42.8905286345304,9.24873580822121,113
2017,179,8,"Holitna",26733.068662541,59.5279249931034,9.61654182911876,151
2017,182,9,"Holitna",32505.7537460053,72.3822653980558,9.96713817124621,181
2017,185,10,"Holitna",34698.025481044,77.2639117610395,9.74789786023212,198
2017,188,11,"Holitna",37535.8835596736,83.5831190685958,9.86279508952936,213
2017,191,12,"Holitna",39486.8940198751,87.927536307099,9.90842343710004,224
2017,194,13,"Holitna",41770.6485992269,93.012892313864,9.96261624378109,240
2017,197,14,"Holitna",43142.5552660054,96.06778878641,9.92759018893448,249
2017,200,15,"Holitna",44908.4503880123,100,10.0467685860454,256
2017,158,1,"Hoholitna",0,0,0,1
2017,161,2,"Hoholitna",646.095601526222,1.57629777222919,7.13774417696305,4
2017,164,3,"Hoholitna",1923.54677311873,4.69293164368128,8.45469638545757,12
2017,167,4,"Hoholitna",4528.94932319862,11.0494061743077,9.32762123692418,26
2017,170,5,"Hoholitna",8949.54754324724,21.8344650877604,10.2169617886708,48
2017,173,6,"Hoholitna",13801.7530135855,33.6725284567495,10.020598889077,73
2017,176,7,"Hoholitna",19993.0837816959,48.7776938128556,9.60003223366312,113
2017,179,8,"Hoholitna",26951.0757621774,65.7533042830602,9.69496434092101,151
2017,182,9,"Hoholitna",32427.0567194401,79.1132104073433,9.94300754675521,181
2017,185,10,"Hoholitna",33928.6312614366,82.7766444251482,9.53174791616447,198
2017,188,11,"Hoholitna",36317.4004670328,88.6045924381916,9.54263081142818,213
2017,191,12,"Hoholitna",37873.875861964,92.4019696247318,9.50366972534268,224
2017,194,13,"Hoholitna",39276.59160465,95.8242150247062,9.36776474972151,240
2017,197,14,"Hoholitna",39828.062469421,97.1696541416641,9.1648878880211,249
2017,200,15,"Hoholitna",40988.1694251535,100,9.16973641758218,256
2017,158,1,"Middle Kusko Main",554.934230463577,1.76715870231043,15.3345277835179,1
2017,161,2,"Middle Kusko Main",649.506459702766,2.06831896369369,7.17542564860682,4
2017,164,3,"Middle Kusko Main",1995.75050917002,6.35536192635671,8.77205839335908,12
2017,167,4,"Middle Kusko Main",3172.22991794484,10.1017983708498,6.53338269860144,26
2017,170,5,"Middle Kusko Main",5561.16117841424,17.7092236014637,6.34871997561141,48
2017,173,6,"Middle Kusko Main",8500.21407912513,27.0684820953994,6.17147949788375,73
2017,176,7,"Middle Kusko Main",13431.1754679507,42.7708678028742,6.44921608073084,113
2017,179,8,"Middle Kusko Main",18250.9050711495,58.1190417728976,6.56529911517095,151
2017,182,9,"Middle Kusko Main",21723.0717785678,69.1759729839367,6.66087793603286,181
2017,185,10,"Middle Kusko Main",24277.5575667964,77.3105978507891,6.82042128265555,198
2017,188,11,"Middle Kusko Main",25918.6222109927,82.5364814021116,6.81028486950497,213
2017,191,12,"Middle Kusko Main",27241.8005092567,86.7500727001869,6.83576921747406,224
2017,194,13,"Middle Kusko Main",29117.5698988923,92.7233610980806,6.94476108421033,240
2017,197,14,"Middle Kusko Main",30534.5908221134,97.2357892712974,7.02635489251144,249
2017,200,15,"Middle Kusko Main",31402.6255671345,100,7.02529054869037,256
2017,158,1,"George",0,0,0,1
2017,161,2,"George",200.25095962573,1.52463734439147,2.21227341220617,4
2017,164,3,"George",441.14137289677,3.3586885802275,1.93897877765611,12
2017,167,4,"George",968.472976427673,7.37359795755938,1.99462357771181,26
2017,170,5,"George",2505.9071047622,19.0790574019574,2.86078787911823,48
2017,173,6,"George",4081.7974465535,31.0773083479276,2.96354056749966,73
2017,176,7,"George",5741.15025882964,43.7110119259061,2.75671467917957,113
2017,179,8,"George",7926.32096432948,60.348100046243,2.8512924597879,151
2017,182,9,"George",9734.09829131587,74.1118534295927,2.98473628392512,181
2017,185,10,"George",10375.4816667835,78.9951111584816,2.91483835568021,198
2017,188,11,"George",11166.8761071817,85.0204981040923,2.93416859790184,213
2017,191,12,"George",11554.2960509604,87.9701714307573,2.89931281333256,224
2017,194,13,"George",12025.8700412791,91.5605627958093,2.86826114117522,240
2017,197,14,"George",12529.101198839,95.3919802187825,2.88308797128135,249
2017,200,15,"George",13134.333903231,100,2.93836932954687,256
2017,158,1,"Oskakawlik",124.289130485143,1.97158816663286,3.43448830507637,1
2017,161,2,"Oskakawlik",174.508212769173,2.76820930304181,1.9278802960166,4
2017,164,3,"Oskakawlik",393.320673384998,6.23921321447031,1.72878919403777,12
2017,167,4,"Oskakawlik",567.051055650011,8.99508385674862,1.16787296382591,26
2017,170,5,"Oskakawlik",1170.75353207936,18.5715661609461,1.33655294230284,48
2017,173,6,"Oskakawlik",1860.30455325401,29.5098568089771,1.35065203103786,73
2017,176,7,"Oskakawlik",2607.45561559244,41.3618521318481,1.25201585862659,113
2017,179,8,"Oskakawlik",3664.73446902874,58.1333788786326,1.31829505841244,151
2017,182,9,"Oskakawlik",4383.40514672734,69.5335922225175,1.34406988680742,181
2017,185,10,"Oskakawlik",4762.37655628908,75.5451842552852,1.33791936570084,198
2017,188,11,"Oskakawlik",5088.55768459511,80.7193684356467,1.33705129558559,213
2017,191,12,"Oskakawlik",5415.25720455474,85.9017758198068,1.3588473526565,224
2017,194,13,"Oskakawlik",5825.25356315544,92.4055140455427,1.38936712066066,240
2017,197,14,"Oskakawlik",6098.32820466243,96.7372744311948,1.40329433155327,249
2017,200,15,"Oskakawlik",6304.01077611497,100,1.41031224378363,256
2017,158,1,"Holokuk",171.711576150009,3.38012311751516,4.74491532631592,1
2017,161,2,"Holokuk",171.711576150009,3.38012311751516,1.89698443989814,4
2017,164,3,"Holokuk",384.639107889049,7.57157769806026,1.6906305168252,12
2017,167,4,"Holokuk",453.33775732826,8.92390290709968,0.933674146251695,26
2017,170,5,"Holokuk",795.737775472881,15.6640088610347,0.908428320707981,48
2017,173,6,"Holokuk",1305.47326508243,25.6980948025786,0.947823362505334,73
2017,176,7,"Holokuk",1946.97612926258,38.3260067336485,0.934874969923623,113
2017,179,8,"Holokuk",2715.64687367401,53.4572041240497,0.976884924191095,151
2017,182,9,"Holokuk",3264.72008202776,64.265648646994,1.00105096476995,181
2017,185,10,"Holokuk",3686.10923178103,72.5606467973037,1.03555795452079,198
2017,188,11,"Holokuk",3931.84592396577,77.39794602138,1.03311783270069,213
2017,191,12,"Holokuk",4208.38573472889,82.8416011798248,1.05600779401279,224
2017,194,13,"Holokuk",4581.87451094279,90.1936858494698,1.09281179393824,240
2017,197,14,"Holokuk",4920.37644079571,96.8570583725885,1.13223430041006,249
2017,200,15,"Holokuk",5080.03910449982,100,1.13648938785461,256
2017,158,1,"Aniak",904.607535317714,2.27457635042146,24.9970692417389,1
2017,161,2,"Aniak",979.50597431828,2.46290356568651,10.821096828357,4
2017,164,3,"Aniak",2017.46794421022,5.07279090044531,8.86751451748443,12
2017,167,4,"Aniak",2927.01379178938,7.3597843133412,6.02834654501769,26
2017,170,5,"Aniak",6831.08884076807,17.1763251113996,7.79849185937944,48
2017,173,6,"Aniak",10326.3959143578,25.9650456301336,7.49735713468632,73
2017,176,7,"Aniak",14709.144637546,36.9851800048736,7.06285554504273,113
2017,179,8,"Aniak",20713.4681609059,52.0826579202184,7.45114358212768,151
2017,182,9,"Aniak",24809.8871325588,62.3828349036735,7.60737852736691,181
2017,185,10,"Aniak",27960.9621701564,70.3060065323573,7.8552194117617,198
2017,188,11,"Aniak",30398.4287597222,76.4348564955864,7.98738288454461,213
2017,191,12,"Aniak",32702.747580687,82.228915122521,8.20608150195226,224
2017,194,13,"Aniak",36138.2610944334,90.8672886545039,8.61924913964749,240
2017,197,14,"Aniak",38274.0483307196,96.2375856590302,8.80729164872292,249
2017,200,15,"Aniak",39770.3746084452,100,8.89729542701039,256
2017,158,1,"Tuluksak",569.061346200366,2.35581915343471,15.7249031413072,1
2017,161,2,"Tuluksak",773.261691312909,3.20117455732245,8.54261214810841,4
2017,164,3,"Tuluksak",1694.90439969617,7.01662180133233,7.4497289600989,12
2017,167,4,"Tuluksak",2392.64341690208,9.90514507181575,4.92778124797399,26
2017,170,5,"Tuluksak",4536.01732826307,18.7783559252175,5.17839762196479,48
2017,173,6,"Tuluksak",7191.64980300241,29.7722318759333,5.22141194351626,73
2017,176,7,"Tuluksak",9944.24039391527,41.1674982719634,4.7749026294924,113
2017,179,8,"Tuluksak",13734.6968878119,56.8593565719621,4.94070803465164,151
2017,182,9,"Tuluksak",16532.506889015,68.4418237919104,5.06931116772342,181
2017,185,10,"Tuluksak",18107.5780022278,74.9623557544207,5.08705663837653,198
2017,188,11,"Tuluksak",19351.736188633,80.1129633383068,5.084793284583,213
2017,191,12,"Tuluksak",20711.178555915,85.7408282217984,5.19704403466377,224
2017,194,13,"Tuluksak",22234.7540203453,92.04817677881,5.30315733674455,240
2017,197,14,"Tuluksak",23409.3388631982,96.9107623130466,5.38675378393384,249
2017,200,15,"Tuluksak",24155.5615748642,100,5.4040015879375,256
2017,158,1,"Kisaralik",439.743652231844,1.52737068267559,12.1514602678982,1
2017,161,2,"Kisaralik",527.167302089846,1.83102104599047,5.82388323320664,4
2017,164,3,"Kisaralik",2006.54726598215,6.96938193856678,8.8195141152941,12
2017,167,4,"Kisaralik",2755.18461980323,9.56963947583603,5.6744548762522,26
2017,170,5,"Kisaralik",5502.85498098986,19.1131795224823,6.28215658922244,48
2017,173,6,"Kisaralik",7760.03557361568,26.9530913556232,5.63408168307531,73
2017,176,7,"Kisaralik",11495.127730948,39.9262638602104,5.51958857133419,113
2017,179,8,"Kisaralik",16115.2353212143,55.973378692602,5.79704621675926,151
2017,182,9,"Kisaralik",19327.9048492299,67.132009920846,5.92645534997472,181
2017,185,10,"Kisaralik",21515.4596192574,74.730088950593,6.04445065322371,198
2017,188,11,"Kisaralik",22860.6816197231,79.402476226165,6.00679128982944,213
2017,191,12,"Kisaralik",24255.4887010751,84.2470883842549,6.08641572576155,224
2017,194,13,"Kisaralik",26646.6791673885,92.5524594712605,6.3554349194559,240
2017,197,14,"Kisaralik",27880.4187772125,96.8376326637258,6.41559986907254,249
2017,200,15,"Kisaralik",28790.8925593305,100,6.4410023599145,256
2017,158,1,"Kwethluk",278.785871987842,1.27149505314197,7.70370516895051,1
2017,161,2,"Kwethluk",278.785871987842,1.27149505314197,3.07988822350778,4
2017,164,3,"Kwethluk",672.462564777808,3.06698764338901,2.95572059657503,12
2017,167,4,"Kwethluk",1403.7647336169,6.40233273602503,2.89113099010846,26
2017,170,5,"Kwethluk",3921.83034972772,17.8868027041137,4.47723090258917,48
2017,173,6,"Kwethluk",5573.12726664608,25.4180877228245,4.04630287484985,73
2017,176,7,"Kwethluk",8068.89927943206,36.8008803492957,3.87442447691071,113
2017,179,8,"Kwethluk",10635.7769672367,48.507973893141,3.82595037560825,151
2017,182,9,"Kwethluk",13819.7580214636,63.0295711709389,4.23750941969906,181
2017,185,10,"Kwethluk",15752.2283301393,71.8432403153069,4.42535593032924,198
2017,188,11,"Kwethluk",16812.9907010916,76.6811974815283,4.41772156138025,213
