"Year","Management_Unit","Total_Contribution_Percent","Percent_Of_Unit_In_Window"
2020,"Holokuk",1.10981344432389,14.7432474278516
2020,"N. Fork Kusko",0.388825264988624,29.4179580218753
2020,"Lower Kusko",0.236795118121341,11.0895011396416
2020,"E. Fork Kuskokwim",0.225106293481792,45.3030915327273
2020,"Johnson",0,0
2021,"Stony",11.5758177146081,13.4156864026246
2021,"Holitna and Hoholitna",10.448529970821,5.12606916420811
2021,"Hoholitna",10.1110762827352,9.4639837887997
2021,"Aniak",7.53858248574979,4.79272548090887
2021,"Big River",7.30906381255063,32.8797463797274
2021,"Kwethluk",7.15694323347647,29.7942454452065
2021,"Upper Kusko Main",7.12067079674063,22.608012192123
2021,"Middle Kusko Main",6.70024566909559,9.46994422981876
2021,"Kisaralik",6.33177995072212,5.30081579566389
2021,"Takotna and Nixon Fork",5.30048767542814,12.5025045209025
2021,"Tuluksak",5.01260558167833,3.82605115550557
2021,"Swift",4.55267028436708,5.04787958358326
2021,"George",3.25816405818067,7.13339327940763
2021,"Tatlawiksuk",2.88123178861718,32.2967496475274
2021,"S. Fork Kusko",1.48679713657635,26.0049413751903
2021,"Oskakawlik",1.29997261974508,4.05962219373425
2021,"Holokuk",0.961998908131909,4.65211883366174
2021,"N. Fork Kusko",0.446582692664526,54.5175465610437
2021,"E. Fork Kuskokwim",0.294724128015606,52.2781343097324
2021,"Lower Kusko",0.212055210095558,8.09612517873831
2021,"Johnson",0,0
