"Year","Management_Unit","Total_Contribution_Percent","Percent_Of_Unit_In_Window"
2019,"Middle Kusko Main",61.536150639841,19.7573761835327
2019,"Upper Kusko Main",60.5512891537161,29.5755164461271
2019,"Big River",58.2527273525099,44.3793866842622
2019,"Kwethluk",56.8881740605867,38.788248660965
2019,"Kisaralik",49.5871208149124,18.6539009184621
2019,"Takotna and Nixon Fork",48.9959605287834,18.8006708197512
2019,"Tuluksak",47.1032401296619,14.0455143437954
2019,"Swift",34.9791313876297,16.3899756821458
2019,"George",29.8333742142779,9.59627687636765
2019,"Tatlawiksuk",22.6547331244286,42.5236880229379
2019,"S. Fork Kusko",12.2902989645783,33.4975174063252
2019,"Oskakawlik",12.2572983386613,13.8513390197563
2019,"Holokuk",10.4350835702581,14.0726899766483
2019,"N. Fork Kusko",2.60728434968491,47.4564845918127
2019,"Lower Kusko",2.01434185456086,17.743354506334
2019,"E. Fork Kuskokwim",1.64937447682922,46.5950141089544
2019,"Johnson",0,0
2020,"Stony",100,10.1334780302764
2020,"Hoholitna",85.1886253567362,5.56606973881375
2020,"Holitna and Hoholitna",82.2435641364387,6.19624258690169
2020,"Big River",71.3696877780313,18.7976114136411
2020,"Kwethluk",68.5056608798126,19.079400737796
2020,"Upper Kusko Main",65.0376083763579,15.8409363975088
2020,"Middle Kusko Main",59.8222109826408,12.784700305858
2020,"Aniak",55.2332508556674,16.8140736713983
2020,"Takotna and Nixon Fork",48.0990612156498,6.57628572468061
2020,"Kisaralik",43.0935650838646,11.2913038233655
2020,"Tuluksak",42.6549298177423,12.1319957232178
2020,"Swift",33.5295471318807,10.5391205503879
2020,"Tatlawiksuk",28.0477347010379,22.862538798484
2020,"George",27.100075357478,3.89217367069288
2020,"S. Fork Kusko",14.2973048076903,17.7161765463809
2020,"Oskakawlik",10.9579851779435,11.6427075610417
2020,"Holokuk",9.45430436238266,14.7432474278516
2020,"N. Fork Kusko",3.3123336338983,29.4179580218753
2020,"Lower Kusko",2.01721571287088,11.0895011396416
2020,"E. Fork Kuskokwim",1.91764068398111,45.3030915327273
2020,"Johnson",0,0
2021,"Stony",100,13.4156864026246
2021,"Holitna and Hoholitna",90.2617009737073,5.12606916420811
2021,"Hoholitna",87.346540279185,9.4639837887997
2021,"Aniak",65.1235417800028,4.79272548090887
2021,"Big River",63.140799144815,32.8797463797274
2021,"Kwethluk",61.8266753150817,29.7942454452065
2021,"Upper Kusko Main",61.5133286675264,22.608012192123
2021,"Middle Kusko Main",57.8814027162868,9.46994422981876
2021,"Kisaralik",54.6983384398989,5.30081579566389
2021,"Takotna and Nixon Fork",45.7893153305203,12.5025045209025
2021,"Tuluksak",43.3023886973675,3.82605115550557
2021,"Swift",39.3291462997195,5.04787958358326
2021,"George",28.1462972077474,7.13339327940763
2021,"Tatlawiksuk",24.8900929476559,32.2967496475274
2021,"S. Fork Kusko",12.8439923056156,26.0049413751903
2021,"Oskakawlik",11.2300716182199,4.05962219373425
2021,"Holokuk",8.3104185971926,4.65211883366174
2021,"N. Fork Kusko",3.85789327090871,54.5175465610437
2021,"E. Fork Kuskokwim",2.54603290481741,52.2781343097324
2021,"Lower Kusko",1.8318810413536,8.09612517873831
2021,"Johnson",0,0
