threshold,year,cluster,closure_protection_pct,cluster_total_production,cluster_closure_production,n_units
0.5,2021,Group 6,3.8772322509519737,73244.98303092408,2839.878104279289,2
0.5,2022,Group 6,0.9297953547532903,76234.95139469818,708.8290367663324,2
0.6,2017,Group 1,3.3102310937156485,4609.428686009874,152.5827416069475,2
0.6,2018,Group 1,14.712819825687431,4312.571644588965,634.5008959220597,2
0.6,2019,Group 1,23.89748748211354,3200.434211779204,764.8233651332143,2
0.6,2020,Group 1,35.144273831485755,4153.215567811849,1459.6174519636922,2
0.6,2021,Group 1,51.47175833653933,4601.0446166656675,2368.2385660465047,2
0.6,2022,Group 1,7.67236286949834,2971.7557966155628,228.00388831169704,2
0.6,2017,Group 2,2.2713578263358856,131628.68232422104,2989.758377673995,5
0.6,2018,Group 2,10.898026271608531,116976.32215967383,12748.110320522686,5
0.6,2019,Group 2,28.99750858936967,131686.0152001069,38185.663568649645,5
0.6,2020,Group 2,16.889513985016364,161860.7703433283,27337.497443391658,5
0.6,2021,Group 2,24.425764731886833,136843.67672530888,33425.11452738773,5
0.6,2022,Group 2,6.97893203589832,142435.83873594477,9940.50038014332,5
0.6,2017,Group 3,1.597232194408143,62383.791279906,996.4139984150382,1
0.6,2018,Group 3,4.659760799130747,57206.871116482675,2665.7033546951093,1
0.6,2019,Group 3,18.64869284798569,64154.48122711473,11963.972152263266,1
0.6,2020,Group 3,9.40335949615457,66514.49740177704,6254.597307749486,1
0.6,2021,Group 3,10.968589160111703,61797.899721903894,6778.357730073451,1
0.6,2022,Group 3,4.63605890141436,61799.80935025119,2865.0755624394246,1
0.6,2017,Group 4,1.4635285222606382,146824.4898937155,2148.8182872582147,4
0.6,2018,Group 4,2.7816774481109423,128279.82735600685,3568.3310280376936,4
0.6,2019,Group 4,13.154169041190828,163698.70276449298,21533.204079877927,4
0.6,2020,Group 4,4.713399115716843,159305.91369576438,7508.723527420796,4
0.6,2021,Group 4,7.785767195575205,152994.2610281892,11911.776986245455,4
0.6,2022,Group 4,5.109084983626697,149481.90524518344,7637.157574120754,4
0.6,2017,Group 5,2.252447755532598,115878.73915631838,2610.1080592659673,5
0.6,2018,Group 5,3.127714214194901,114838.63087959257,3591.824181407832,5
0.6,2019,Group 5,14.086623627053886,114699.56402541173,16157.295886131447,5
0.6,2020,Group 5,10.066162564735833,109353.64084902032,11007.715258319757,5
0.6,2021,Group 5,4.6344783643469265,108666.23189881111,5036.113006701459,5
0.6,2022,Group 5,2.466643513138053,119974.68917279394,2959.3478878882634,5
0.6,2017,Group 6,2.088588024868264,73846.36922438456,1542.346424420499,2
0.6,2018,Group 6,2.247899819641198,76374.78414990318,1716.8286351570275,2
0.6,2019,Group 6,12.160227876132465,63829.766709728916,7761.845084706776,2
0.6,2020,Group 6,11.395196814466226,59006.155460067705,6723.867547324624,2
0.6,2021,Group 6,4.00350595843741,64641.112527709745,2587.9107916470907,2
0.6,2022,Group 6,0.942902789966228,67248.62779836763,634.0891877248127,2
0.7,2017,Group 1,3.4214532379649896,3146.7650585852066,107.66509498811445,2
0.7,2018,Group 1,13.79394802321588,3190.528626571022,440.0998604150302,2
0.7,2019,Group 1,23.935598913748763,2262.473396867049,541.5365578043641,2
0.7,2020,Group 1,33.96447498046899,2908.3390716563663,987.8020963399306,2
0.7,2021,Group 1,52.06238246027338,3300.2419107031606,1718.1845656645132,2
0.7,2022,Group 1,8.266802372131602,1992.0609236272767,164.6797396887264,2
0.7,2017,Group 2,2.4153169916912263,111127.38190590197,2684.0785375948517,5
0.7,2018,Group 2,11.397782956110056,99586.04311490824,11350.601048815424,5
0.7,2019,Group 2,29.352572303841452,111907.65229046023,32847.77455208882,5
0.7,2020,Group 2,17.478128156724445,137455.1083869548,24024.58000183645,5
0.7,2021,Group 2,25.201656223160683,115511.60536182916,29110.837681142228,5
0.7,2022,Group 2,7.172161769597807,123157.8598775682,8833.080942393783,5
0.7,2017,Group 3,1.7132823490948963,51479.3854147365,881.987223733213,1
0.7,2018,Group 3,4.457390813672648,47254.36877644959,2106.31189290046,1
0.7,2019,Group 3,19.007564966847763,53151.39148043584,10102.785266427429,1
0.7,2020,Group 3,8.90841015765809,55609.05073116313,4953.882323912177,1
0.7,2021,Group 3,11.565118183073073,51534.66514358986,5960.044929107133,1
0.7,2022,Group 3,4.44445087155481,50794.986042324905,2257.5581998642533,1
0.7,2017,Group 4,1.4729127642900466,122699.85671062849,1807.2618512564443,4
0.7,2018,Group 4,2.642968090043833,108783.17257052957,2875.104538376412,4
0.7,2019,Group 4,12.470373696060792,140135.68563663407,17475.443680425255,4
0.7,2020,Group 4,4.428216961403066,134967.69354936504,5976.662298167495,4
0.7,2021,Group 4,7.5558316730415545,129669.06930779107,9797.576608896283,4
0.7,2022,Group 4,5.183911253199638,125121.76004297545,6486.200999069253,4
0.7,2017,Group 5,2.3984959564695716,95733.12958194403,2296.1552420247026,5
0.7,2018,Group 5,3.063411983194908,96028.66338228426,2941.7535813547966,5
0.7,2019,Group 5,14.463698671908936,96160.90934271498,13908.424167497822,5
0.7,2020,Group 5,9.82943800004545,92301.56813075564,9072.725412482336,5
0.7,2021,Group 5,4.691282935568282,90403.45983865327,4241.082084574066,5
0.7,2022,Group 5,2.5084476540815634,100531.03471222076,2521.768381862624,5
0.7,2017,Group 6,2.039496285216761,61696.206824539004,1258.2918463061228,2
0.7,2018,Group 6,2.361762466118791,63797.062050512424,1506.7350659955173,2
0.7,2019,Group 6,12.369468392630495,53205.79589213916,6581.274105925648,2
0.7,2020,Group 6,11.640785338254977,49360.14936329552,5745.909030023262,2
0.7,2021,Group 6,4.013728278536339,53829.343035363316,2160.5635635607086,2
0.7,2022,Group 6,0.97830918281575,56662.99055023755,554.3392398109946,2
0.8,2017,Group 1,3.2048680352385914,2438.0910650009755,78.13760121222441,2
0.8,2018,Group 1,14.641505865046852,2381.358515687355,348.66674674215676,2
0.8,2019,Group 1,24.0961589632123,1775.0664254734907,427.7228275847027,2
0.8,2020,Group 1,33.38544815987408,2258.201283882842,753.9106189763171,2
0.8,2021,Group 1,53.234941627798904,2544.4728640658604,1354.5486439206438,2
0.8,2022,Group 1,7.159973316645919,1600.7845760610778,114.61574850295666,2
0.8,2017,Group 2,2.5597960751053073,87986.08490385658,2252.264348007744,5
0.8,2018,Group 2,12.157380711243416,78936.3690172919,9596.594901064169,5
0.8,2019,Group 2,29.787968128127872,88598.56852175147,26391.71335323686,5
0.8,2020,Group 2,17.9582201947469,110331.23597804546,19813.52630052322,5
0.8,2021,Group 2,26.24230978793435,91879.39879929557,24111.276464202772,5
0.8,2022,Group 2,7.208531520904405,99680.64919731414,7185.511017630533,5
0.8,2017,Group 3,1.8598526768769001,34823.02079843259,647.6568844890481,1
0.8,2018,Group 3,4.54437630260059,32664.99191297307,1484.4201517395472,1
0.8,2019,Group 3,19.90022572140746,37441.3422694329,7450.911624741889,1
0.8,2020,Group 3,8.70231887152737,38703.00028832404,3368.0584979381147,1
0.8,2021,Group 3,10.965643560135613,35616.459358533015,3905.5739819972932,1
0.8,2022,Group 3,4.664745174826555,34306.022773183395,1600.2885419869715,1
0.8,2017,Group 4,1.4746520629824305,87911.77923832537,1296.392866142525,4
0.8,2018,Group 4,2.46749137483639,79187.69828015965,1953.9496249944034,4
0.8,2019,Group 4,11.348357025492671,101057.65503235409,11468.383494662303,4
0.8,2020,Group 4,4.004325486390895,96366.70213001013,3858.8364137863937,4
0.8,2021,Group 4,6.900075963911574,92740.56886287342,6399.169700901991,4
0.8,2022,Group 4,5.28638157391957,89278.43707622332,4719.598847080847,4
0.8,2017,Group 5,2.4128581749046787,68051.52120311392,1641.986692496325,5
0.8,2018,Group 5,3.0665697175008133,68781.25369051416,2109.2250969907177,5
0.8,2019,Group 5,15.415563764571832,69852.9178156152,10768.221087280119,5
0.8,2020,Group 5,9.661052801416899,69232.09271063488,6688.549032300336,5
0.8,2021,Group 5,4.880834928576562,64781.05982878267,3161.856595225305,5
0.8,2022,Group 5,2.59387199232874,72669.74738668787,1884.960224359343,5
0.8,2017,Group 6,1.9508663254531124,46445.15359653848,906.0828613198444,2
0.8,2018,Group 6,2.242845179271936,47882.687633606794,1073.9345512961895,2
0.8,2019,Group 6,12.57346703664037,40002.546576241504,5029.707007580437,2
0.8,2020,Group 6,11.934032620934577,36909.15156091508,4404.750187389789,2
0.8,2021,Group 6,4.199420114246624,40128.9117023769,1685.1815896578828,2
0.8,2022,Group 6,1.1460144963479642,43528.95877929494,498.8481777200498,2
0.9,2017,Group 1,3.9016469516279066,1558.9821570657514,60.825979807578875,2
0.9,2018,Group 1,14.862634786735466,1523.0002155952989,226.35795984512302,2
0.9,2019,Group 1,24.163523090103478,1122.5396514172867,271.24512786578316,2
0.9,2020,Group 1,32.77832491154972,1409.077155661999,461.87188833731324,2
0.9,2021,Group 1,50.78398095659138,1643.8321237224088,834.8033926695198,2
0.9,2022,Group 1,7.5183824168400015,1035.783729093261,77.8741817646374,2
0.9,2017,Group 2,2.6026243816414403,51995.13095192654,1353.2379554212353,5
0.9,2018,Group 2,13.205994000684903,47154.442387057505,6227.212832691233,5
0.9,2019,Group 2,32.82479248163885,51087.2070665138,16769.269704248294,5
0.9,2020,Group 2,19.65181762661273,67080.04910982268,13182.44891490461,5
0.9,2021,Group 2,29.0643657886299,55577.85470147175,16153.350987908989,5
0.9,2022,Group 2,7.357328358406528,60273.93002005182,4434.550946091378,5
0.9,2017,Group 3,2.669644013123574,14426.865636039685,385.14595473391574,1
0.9,2018,Group 3,3.3942998133982965,12997.977889827214,441.19033925995694,1
0.9,2019,Group 3,14.920513767241788,15602.127596738328,2327.917596053973,1
0.9,2020,Group 3,7.0305106101379025,14869.86112286445,1045.4271639557562,1
0.9,2021,Group 3,5.58706741370368,14860.574974851676,830.2703419089419,1
0.9,2022,Group 3,4.921398005682782,13409.079731672877,659.914182494963,1
0.9,2017,Group 4,1.4529261046720325,50160.07068021578,728.7887610347974,4
0.9,2018,Group 4,2.144346656154335,45075.91691692184,966.5839171389196,4
0.9,2019,Group 4,9.214861060118608,57261.315790752655,5276.550691313614,4
0.9,2020,Group 4,3.447810216725225,53296.83258418896,1837.5736390286058,4
0.9,2021,Group 4,6.04356777245409,52332.2030113428,3162.7321558087624,4
0.9,2022,Group 4,5.166943125130804,51292.490639749005,2650.2538188188723,4
0.9,2017,Group 5,2.4118890627010714,36506.487129167734,880.4959702447709,5
0.9,2018,Group 5,3.0687719752345908,36657.144125701365,1124.9241658508765,5
0.9,2019,Group 5,15.900725496602561,37551.67311784398,5970.988461849867,5
0.9,2020,Group 5,9.216933995594955,38598.972316104504,3557.641801353321,5
0.9,2021,Group 5,5.250909060569613,35752.973057843294,1877.3561017173063,5
0.9,2022,Group 5,2.87233894719363,39135.852756351,1124.1143410370214,5
0.9,2017,Group 6,1.5319395046137299,26340.893587977265,403.52655474248866,2
0.9,2018,Group 6,1.715395534888807,27694.690370841818,475.0734820227009,2
0.9,2019,Group 6,13.932350711985952,22218.84003122649,3095.6067172856037,2
0.9,2020,Group 6,11.865326351275227,20966.660282031422,2487.7626674262315,2
0.9,2021,Group 6,3.8270445504315207,23031.29968323578,881.4180994208269,2
0.9,2022,Group 6,0.7997535492618039,24617.1409732366,196.87645866024147,2
