threshold,cluster,doy,cum_pct
0.5,Group 3,194,96.12814035253636
0.5,Group 3,197,98.31164790875918
0.5,Group 3,200,99.72497533207253
0.5,Group 3,203,100.0
0.5,Group 4,149,
0.5,Group 4,152,0.380736279434945
0.5,Group 4,155,0.9246468562331522
0.5,Group 4,158,2.4183747373836244
0.5,Group 4,161,5.4601238321594545
0.5,Group 4,164,10.484251286531554
0.5,Group 4,167,16.348437490373986
0.5,Group 4,170,25.37102456399604
0.5,Group 4,173,36.25159885820988
0.5,Group 4,176,51.53498714611111
0.5,Group 4,179,66.39524766677357
0.5,Group 4,182,77.2714280134066
0.5,Group 4,185,83.02366120025162
0.5,Group 4,188,87.55385125130103
0.5,Group 4,191,91.91478982498366
0.5,Group 4,194,95.75824015211981
0.5,Group 4,197,98.39116484351557
0.5,Group 4,200,99.89997186967163
0.5,Group 4,203,100.0
0.5,Group 5,149,
0.5,Group 5,152,0.2135858817387465
0.5,Group 5,155,0.84897134249258
0.5,Group 5,158,1.8967012646267711
0.5,Group 5,161,5.543812831805237
0.5,Group 5,164,10.901276392819
0.5,Group 5,167,15.034014755119117
0.5,Group 5,170,22.13132045027103
0.5,Group 5,173,35.24231559938397
0.5,Group 5,176,47.858632904541054
0.5,Group 5,179,62.85019351385525
0.5,Group 5,182,75.29997427924495
0.5,Group 5,185,81.41415890285195
0.5,Group 5,188,86.42593536682195
0.5,Group 5,191,91.19715040190532
0.5,Group 5,194,94.86398931573558
0.5,Group 5,197,97.83614863460075
0.5,Group 5,200,99.70608249398587
0.5,Group 5,203,100.0
0.5,Group 6,149,
0.5,Group 6,152,0.18721168439466163
0.5,Group 6,155,0.6940877564497518
0.5,Group 6,158,1.3671724703956512
0.5,Group 6,161,4.8690012346903435
0.5,Group 6,164,9.442244977100058
0.5,Group 6,167,13.698686428260066
0.5,Group 6,170,20.443881357617478
0.5,Group 6,173,32.956790043662444
0.5,Group 6,176,44.04171684952604
0.5,Group 6,179,59.05504586509167
