"year","quartile","mgmt_river","total_run_prop","within_quartile_prop","cpue_prop_in_quartile","edge_count"
"2017","Q2","Takotna and Nixon Fork",0.0172448238771841,0.0374745531165921,0.619376838688995,127
"2017","Q2","Aniak",0.0152661184984786,0.0331746483831786,0.619376838688995,165
"2017","Q2","Tatlawiksuk",0.0112031493061582,0.0243454509443962,0.619376838688995,62
"2017","Q2","N. Fork Kusko",0.0109024425170469,0.0236919880490181,0.619376838688995,177
"2017","Q2","George",0.0102185468147826,0.0222058211850804,0.619376838688995,65
"2017","Q2","E. Fork Kuskokwim",0.00939111702465121,0.0204077418401498,0.619376838688995,81
"2017","Q2","Oskakawlik",0.0042102814848191,0.00914932029821468,0.619376838688995,25
"2017","Q2","Holokuk",0.0025588642527481,0.00556064214054565,0.619376838688995,21
"2017","Q3","Lower Kusko",0.0502308489355068,0.163732436197715,0.264839301773369,1105
"2017","Q3","Holitna and Hoholitna",0.0335885320211898,0.10948515290266,0.264839301773369,477
"2017","Q3","Stony",0.0268127697019405,0.0873988833066239,0.264839301773369,299
"2017","Q3","Middle Kusko Main",0.025248985015662,0.0823015719571421,0.264839301773369,249
"2017","Q3","Johnson",0.0186264574072484,0.0607147861055954,0.264839301773369,200
"2017","Q3","Tuluksak",0.0164384774509601,0.0535828483385307,0.264839301773369,189
"2017","Q3","Big River",0.0157928377239295,0.0514783215854893,0.264839301773369,166
"2017","Q3","Upper Kusko Main",0.0150801150802278,0.0491551314093413,0.264839301773369,159
"2017","Q3","Kisaralik",0.0149265121328436,0.0486544473612843,0.264839301773369,237
"2017","Q3","Kwethluk",0.0144426056443336,0.0470771061469768,0.264839301773369,166
"2017","Q3","Swift",0.0138238913386799,0.0450603454765544,0.264839301773369,277
"2017","Q3","S. Fork Kusko",0.012778299153501,0.0416521340014023,0.264839301773369,137
"2017","Q3","Aniak",0.0111830512255211,0.0364522650936945,0.264839301773369,165
"2017","Q3","Takotna and Nixon Fork",0.00951836312820053,0.0310260490639079,0.264839301773369,127
"2017","Q3","N. Fork Kusko",0.00667667088546674,0.0217632712353998,0.264839301773369,177
"2017","Q3","Tatlawiksuk",0.00590633832041042,0.0192522958043246,0.264839301773369,62
"2017","Q3","George",0.00572695185859672,0.0186675678326481,0.264839301773369,65
"2017","Q3","E. Fork Kuskokwim",0.00537017686710723,0.017504624347341,0.264839301773369,81
"2017","Q3","Oskakawlik",0.00261803015948609,0.00853372907557502,0.264839301773369,25
"2017","Q3","Holokuk",0.00199626773451549,0.00650703275779341,0.264839301773369,21
"2017","Q4","Lower Kusko",0.0233608637332182,0.189860864001057,0.0681772403991001,1105
"2017","Q4","Holitna and Hoholitna",0.0161986044066025,0.131650998155332,0.0681772403991001,477
"2017","Q4","Stony",0.0116496322493102,0.0946801141176774,0.0681772403991001,299
"2017","Q4","Middle Kusko Main",0.00936735499293745,0.0761313508213643,0.0681772403991001,249
"2017","Q4","Johnson",0.00777893562659806,0.0632217822055268,0.0681772403991001,200
"2017","Q4","Tuluksak",0.00749264273756978,0.0608949925846886,0.0681772403991001,189
"2017","Q4","Swift",0.00696977274205585,0.0566454686697255,0.0681772403991001,277
"2017","Q4","Kisaralik",0.00682421951449739,0.0554625131995006,0.0681772403991001,237
"2017","Q4","Kwethluk",0.00511466948703505,0.0415684787590918,0.0681772403991001,166
"2017","Q4","Aniak",0.00493945260739107,0.040144437741744,0.0681772403991001,165
"2017","Q4","Big River",0.00448117898393602,0.0364199082426763,0.0681772403991001,166
"2017","Q4","Upper Kusko Main",0.00402858768554457,0.0327415607323584,0.0681772403991001,159
"2017","Q4","S. Fork Kusko",0.0037639718511764,0.0305909471456671,0.0681772403991001,137
"2017","Q4","Takotna and Nixon Fork",0.00265947298856406,0.0216143480464833,0.0681772403991001,127
"2017","Q4","N. Fork Kusko",0.00184137200359506,0.0149653918426309,0.0681772403991001,177
"2017","Q4","Tatlawiksuk",0.00175946979453874,0.014299747611638,0.0681772403991001,62
"2017","Q4","George",0.00175769612816199,0.0142853324840732,0.0681772403991001,65
"2017","Q4","E. Fork Kuskokwim",0.00144827292731961,0.0117705557649928,0.0681772403991001,81
"2017","Q4","Oskakawlik",0.000862372187213666,0.0070087617660322,0.0681772403991001,25
"2017","Q4","Holokuk",0.000743474759165995,0.0060424461077402,0.0681772403991001,21
"2019","Q1","Lower Kusko",0.0195655441576567,0.122907899576846,0.233198324577136,1105
"2019","Q1","Middle Kusko Main",0.0149320695742189,0.0938010868961373,0.233198324577136,249
"2019","Q1","Big River",0.0123915365339785,0.0778418282491274,0.233198324577136,166
"2019","Q1","Upper Kusko Main",0.0123641896264639,0.0776700389579404,0.233198324577136,159
"2019","Q1","Holitna and Hoholitna",0.0121332881155339,0.0762195492864621,0.233198324577136,477
"2019","Q1","Stony",0.0116397644424376,0.0731193054310937,0.233198324577136,299
"2019","Q1","Kwethluk",0.00930347997352774,0.0584431065697733,0.233198324577136,166
"2019","Q1","Johnson",0.00891427325583122,0.0559981666392599,0.233198324577136,200
"2019","Q1","S. Fork Kusko",0.00880753171190552,0.0553276318023148,0.233198324577136,137
"2019","Q1","Takotna and Nixon Fork",0.00747557306425288,0.0469604615162721,0.233198324577136,127
"2019","Q1","Swift",0.00588993759728664,0.0369997303876618,0.233198324577136,277
"2019","Q1","Kisaralik",0.00541497381890621,0.0340160770885035,0.233198324577136,237
"2019","Q1","Tatlawiksuk",0.00500126019852812,0.0314171883636477,0.233198324577136,62
"2019","Q1","Tuluksak",0.0049319917898071,0.0309820543058198,0.233198324577136,189
"2019","Q1","N. Fork Kusko",0.00468482324395963,0.0294293774895357,0.233198324577136,177
"2019","Q1","E. Fork Kuskokwim",0.00451391822628767,0.0283557770529752,0.233198324577136,81
"2019","Q1","Aniak",0.00449793301081341,0.0282553602568773,0.233198324577136,165
"2019","Q1","George",0.00385735998674319,0.0242313737896648,0.233198324577136,65
"2019","Q1","Oskakawlik",0.00178649556308428,0.0112225050063897,0.233198324577136,25
"2019","Q1","Holokuk",0.001082718717268,0.00680148133369796,0.233198324577136,21
"2019","Q2","Lower Kusko",0.029725148751296,0.132692853537767,0.216523541692107,1105
"2019","Q2","Middle Kusko Main",0.019790159159892,0.0883431303528178,0.216523541692107,249
"2019","Q2","Holitna and Hoholitna",0.0188110735321344,0.0839724990435532,0.216523541692107,477
"2019","Q2","Stony",0.0172218548687155,0.0768782381835352,0.216523541692107,299
"2019","Q2","Big River",0.0161823810668398,0.0722380344926244,0.216523541692107,166
"2019","Q2","Upper Kusko Main",0.0157530116195199,0.0703213323202145,0.216523541692107,159
"2019","Q2","Johnson",0.0126025265926232,0.0562575894691816,0.216523541692107,200
"2019","Q2","Kwethluk",0.0119379053308761,0.0532907248630203,0.216523541692107,166
"2019","Q2","S. Fork Kusko",0.0114474337376756,0.0511012631440728,0.216523541692107,137
"2019","Q2","Takotna and Nixon Fork",0.00988652057598702,0.0441333578433436,0.216523541692107,127
"2019","Q2","Tuluksak",0.00915487432482951,0.040867294159068,0.216523541692107,189
"2019","Q2","Kisaralik",0.00870971191309068,0.0388800923053244,0.216523541692107,237
"2019","Q2","Swift",0.00861158803236899,0.038442067996612,0.216523541692107,277
"2019","Q2","Aniak",0.00685251942611236,0.0305895981944981,0.216523541692107,165
"2019","Q2","N. Fork Kusko",0.00648775889090136,0.0289613097482375,0.216523541692107,177
"2019","Q2","Tatlawiksuk",0.00622340034862693,0.027781215087485,0.216523541692107,62
"2019","Q2","E. Fork Kuskokwim",0.00562763385290772,0.025121717669302,0.216523541692107,81
"2019","Q2","George",0.00524522113443684,0.023414630001967,0.216523541692107,65
"2019","Q2","Oskakawlik",0.00233451918168197,0.010421277095965,0.216523541692107,25
"2019","Q2","Holokuk",0.00140944992650687,0.00629177449141071,0.216523541692107,21
