"mgmt_river","total_production","total_stream_length","edge_count","percent_of_total_run","production_per_meter","production_per_meter_norm","grand_total_production","year","quartile","watershed"
"Swift",951.344877952241,819725.225840815,277,1.00761909599049,0.0011605655748564,0.593847670629463,94415.1298578823,"2020","Q2","Kusko"
"Takotna and Nixon Fork",997.625373542049,891604.682860539,127,1.05663718838677,0.00111890997514881,0.572532993207563,94415.1298578823,"2020","Q2","Kusko"
"Tuluksak",982.43216707938,635326.11331816,189,1.04054526913025,0.00154634312439696,0.791245477473895,94415.1298578823,"2020","Q2","Kusko"
"Aniak",1313.531592242,597537.247825793,165,1.3912299800034,0.00219824219665206,0.775097649058681,94415.1298578823,"2020","Q3","Kusko"
"Big River",2101.55858581351,868496.235729844,166,2.22587056648322,0.00241976706329355,0.85320706011601,94415.1298578823,"2020","Q3","Kusko"
"E. Fork Kuskokwim",785.172167465537,482279.000693317,81,0.831616890902349,0.00162804552206666,0.574046962903475,94415.1298578823,"2020","Q3","Kusko"
"Holitna and Hoholitna",3513.54523535306,1503589.57361482,477,3.721379444843,0.00233677148139971,0.82394291419699,94415.1298578823,"2020","Q3","Kusko"
"Holokuk",266.72358933017,94046.4282567086,21,0.282500897612123,0.00283608420090258,1,94415.1298578823,"2020","Q3","Kusko"
"Johnson",2206.45071679788,921707.3443104,200,2.33696730610774,0.00239387342459411,0.84407699314155,94415.1298578823,"2020","Q3","Kusko"
"Kisaralik",1588.58134059921,739566.396599419,237,1.68254954792777,0.00214799015734574,0.757378838280665,94415.1298578823,"2020","Q3","Kusko"
"Kwethluk",1881.36875600717,794547.289014045,166,1.99265600634039,0.00236784994678135,0.834901145046323,94415.1298578823,"2020","Q3","Kusko"
"N. Fork Kusko",887.44492201224,1363687.88890357,177,0.939939312002282,0.000650768353399221,0.229460166659408,94415.1298578823,"2020","Q3","Kusko"
"Oskakawlik",358.623413718504,163017.522868541,25,0.379836806090633,0.0021999071474525,0.775684708779936,94415.1298578823,"2020","Q3","Kusko"
"Stony",3149.23537414327,1169153.03736501,299,3.33551982493022,0.0026936040650768,0.949761669353666,94415.1298578823,"2020","Q3","Kusko"
"Swift",1508.1619352485,819725.225840815,277,1.59737315144157,0.00183983838450444,0.648724880565574,94415.1298578823,"2020","Q3","Kusko"
"Takotna and Nixon Fork",1355.48044961645,891604.682860539,127,1.4356602079103,0.00152027067115401,0.536045675466964,94415.1298578823,"2020","Q3","Kusko"
"Tuluksak",1716.45708303482,635326.11331816,189,1.81798943201,0.00270169452672135,0.952614356746368,94415.1298578823,"2020","Q3","Kusko"
"Aniak",709.963863338213,597537.247825793,165,0.751959844155149,0.00118814997043531,0.660118405500713,94415.1298578823,"2020","Q4","Kusko"
"Big River",1179.55500706308,868496.235729844,166,1.24932837442324,0.00135815788087076,0.754572265326202,94415.1298578823,"2020","Q4","Kusko"
"E. Fork Kuskokwim",380.636775413971,482279.000693317,81,0.403152308307919,0.000789246006703119,0.438493311834858,94415.1298578823,"2020","Q4","Kusko"
"Holitna and Hoholitna",2020.99763925743,1503589.57361482,477,2.14054425630671,0.00134411522580507,0.746770375580278,94415.1298578823,"2020","Q4","Kusko"
"Holokuk",117.647478187974,94046.4282567086,21,0.124606594689921,0.00125095105012223,0.695009748864936,94415.1298578823,"2020","Q4","Kusko"
"Johnson",1155.42318503229,921707.3443104,200,1.22376910011297,0.00125356838281109,0.696463899876366,94415.1298578823,"2020","Q4","Kusko"
"Kisaralik",963.597803767705,739566.396599419,237,1.02059681029741,0.00130292264250837,0.723884390577633,94415.1298578823,"2020","Q4","Kusko"
"Kwethluk",935.922911636058,794547.289014045,166,0.991284885213683,0.00117793229500216,0.654441617399305,94415.1298578823,"2020","Q4","Kusko"
"N. Fork Kusko",473.097386375861,1363687.88890357,177,0.501082175164074,0.000346924974714147,0.192746342494772,94415.1298578823,"2020","Q4","Kusko"
"Oskakawlik",169.979221084064,163017.522868541,25,0.180033879463942,0.00104270521409614,0.57931146779749,94415.1298578823,"2020","Q4","Kusko"
"Stony",1709.27387095788,1169153.03736501,299,1.81038131656521,0.00146197616251348,0.812252154435411,94415.1298578823,"2020","Q4","Kusko"
"Swift",830.914397449051,819725.225840815,277,0.880064878054797,0.00101364990518226,0.563168771447017,94415.1298578823,"2020","Q4","Kusko"
"Takotna and Nixon Fork",706.767253360446,891604.682860539,127,0.748574147410805,0.000792691275569485,0.440407451840057,94415.1298578823,"2020","Q4","Kusko"
"Tuluksak",1143.52621660833,635326.11331816,189,1.21116839888862,0.00179990432100446,1,94415.1298578823,"2020","Q4","Kusko"
"Aniak",275.168088327171,597537.247825793,165,0.310341400499192,0.000460503657852965,0.275873700698699,88666.2520322961,"2021","Q1","Kusko"
"Big River",1449.74201010169,868496.235729844,166,1.6350550258667,0.00166925537550936,1,88666.2520322961,"2021","Q1","Kusko"
"E. Fork Kuskokwim",499.406090470747,482279.000693317,81,0.563242585565522,0.00103551282505108,0.620344160781927,88666.2520322961,"2021","Q1","Kusko"
"Holitna and Hoholitna",690.66127571687,1503589.57361482,477,0.778944931004077,0.000459341623430146,0.275177561306329,88666.2520322961,"2021","Q1","Kusko"
"Holokuk",79.5675746712717,94046.4282567086,21,0.0897382858162198,0.000846045683458435,0.50684017309231,88666.2520322961,"2021","Q1","Kusko"
"Johnson",681.805311061791,921707.3443104,200,0.768956954234907,0.000739719950449024,0.443143668309772,88666.2520322961,"2021","Q1","Kusko"
"Kisaralik",289.738563315159,739566.396599419,237,0.326774343872823,0.000391768155837526,0.234696357181405,88666.2520322961,"2021","Q1","Kusko"
"Kwethluk",874.326824524656,794547.289014045,166,0.986087496070306,0.00110040879455974,0.659221357441463,88666.2520322961,"2021","Q1","Kusko"
"N. Fork Kusko",631.169225608412,1363687.88890357,177,0.711848320123549,0.00046283994361487,0.277273298265484,88666.2520322961,"2021","Q1","Kusko"
"Oskakawlik",156.211738451165,163017.522868541,25,0.176179476261459,0.00095825120945517,0.57405908257912,88666.2520322961,"2021","Q1","Kusko"
"Stony",820.290095764145,1169153.03736501,299,0.925143532023164,0.000701610541604444,0.42031348342392,88666.2520322961,"2021","Q1","Kusko"
"Swift",391.638080687894,819725.225840815,277,0.441699149012459,0.000477767510797512,0.286215948624232,88666.2520322961,"2021","Q1","Kusko"
"Takotna and Nixon Fork",860.756725951643,891604.682860539,127,0.970782802049778,0.000965401755394637,0.578342756631861,88666.2520322961,"2021","Q1","Kusko"
"Tuluksak",314.331310458727,635326.11331816,189,0.354510654565881,0.000494755848798734,0.29639314394765,88666.2520322961,"2021","Q1","Kusko"
"Aniak",815.924633805093,597537.247825793,165,0.9202200556621,0.00136547911745071,0.751863024519518,88666.2520322961,"2021","Q2","Kusko"
"Big River",1577.29990011348,868496.235729844,166,1.77891798058517,0.00181612750317564,1,88666.2520322961,"2021","Q2","Kusko"
"E. Fork Kuskokwim",540.63293510415,482279.000693317,81,0.609739244314993,0.00112099621656125,0.61724532809569,88666.2520322961,"2021","Q2","Kusko"
"Holitna and Hoholitna",2444.94697783311,1503589.57361482,477,2.75747189239774,0.00162607337849195,0.895351992439206,88666.2520322961,"2021","Q2","Kusko"
"Holokuk",153.985709511615,94046.4282567086,21,0.173668905566829,0.00163733713619933,0.901554066736129,88666.2520322961,"2021","Q2","Kusko"
"Johnson",1446.80074711011,921707.3443104,200,1.63173779645397,0.00156969645087571,0.864309608290704,88666.2520322961,"2021","Q2","Kusko"
"Kisaralik",1088.1641957876,739566.396599419,237,1.22725859145511,0.00147135429731672,0.810160241912501,88666.2520322961,"2021","Q2","Kusko"
"Kwethluk",1238.34076406082,794547.289014045,166,1.39663145297916,0.00155854885062597,0.858171492860897,88666.2520322961,"2021","Q2","Kusko"
"N. Fork Kusko",625.041363088939,1363687.88890357,177,0.70493716466246,0.000458346347558664,0.252375643646832,88666.2520322961,"2021","Q2","Kusko"
"Oskakawlik",215.424986211797,163017.522868541,25,0.242961646933412,0.00132148361980398,0.72763812975315,88666.2520322961,"2021","Q2","Kusko"
"Stony",2019.45265326962,1169153.03736501,299,2.27758883113053,0.00172727828498909,0.951077653947102,88666.2520322961,"2021","Q2","Kusko"
"Swift",1097.5673447549,819725.225840815,277,1.23786369627434,0.00133894542970676,0.737252988771719,88666.2520322961,"2021","Q2","Kusko"
"Takotna and Nixon Fork",929.691292526919,891604.682860539,127,1.0485289173927,0.00104271692421375,0.574143017156275,88666.2520322961,"2021","Q2","Kusko"
"Tuluksak",1136.72525787402,635326.11331816,189,1.28202696270501,0.00178919964730738,0.985172926558749,88666.2520322961,"2021","Q2","Kusko"
"Aniak",1438.8076450154,597537.247825793,165,1.62272297749917,0.00240789616086807,0.743470279622087,88666.2520322961,"2021","Q3","Kusko"
"Big River",1530.77521728212,868496.235729844,166,1.72644628840807,0.00176255826370477,0.54421353647343,88666.2520322961,"2021","Q3","Kusko"
"E. Fork Kuskokwim",491.521412214532,482279.000693317,81,0.554350049707185,0.00101916403473493,0.314680583905242,88666.2520322961,"2021","Q3","Kusko"
"Holitna and Hoholitna",3945.57883828558,1503589.57361482,477,4.44992175472628,0.00262410627708725,0.810228056878001,88666.2520322961,"2021","Q3","Kusko"
"Holokuk",193.869152627543,94046.4282567086,21,0.218650442737702,0.0020614196224269,0.636490994923829,88666.2520322961,"2021","Q3","Kusko"
"Johnson",2057.81100598518,921707.3443104,200,2.32085033349062,0.00223260779974015,0.689347643862209,88666.2520322961,"2021","Q3","Kusko"
"Kisaralik",1954.57874832697,739566.396599419,237,2.20442243077448,0.00264287122469905,0.816021986481265,88666.2520322961,"2021","Q3","Kusko"
"Kwethluk",1475.6759454859,794547.289014045,166,1.6643039619498,0.00185725376688034,0.573452044914555,88666.2520322961,"2021","Q3","Kusko"
"N. Fork Kusko",596.950384047604,1363687.88890357,177,0.673255461198663,0.00043774707460925,0.135160288575801,88666.2520322961,"2021","Q3","Kusko"
"Oskakawlik",306.955708773065,163017.522868541,25,0.346192267900597,0.00188296143489187,0.581389632687474,88666.2520322961,"2021","Q3","Kusko"
"Stony",3080.98687984448,1169153.03736501,299,3.47481348227311,0.00263522976152745,0.813662582096125,88666.2520322961,"2021","Q3","Kusko"
"Swift",1690.45920332254,819725.225840815,277,1.90654185169212,0.00206222664623818,0.636740174364532,88666.2520322961,"2021","Q3","Kusko"
"Takotna and Nixon Fork",967.291608374521,891604.682860539,127,1.0909354869564,0.00108488843426793,0.334973874991837,88666.2520322961,"2021","Q3","Kusko"
"Tuluksak",2057.64689065397,635326.11331816,189,2.32066524014626,0.00323872551044276,1,88666.2520322961,"2021","Q3","Kusko"
"Aniak",604.020095385872,597537.247825793,165,0.681228857137055,0.00101084927773736,0.749900690206459,88666.2520322961,"2021","Q4","Kusko"
"Big River",755.383483214254,868496.235729844,166,0.851940243215773,0.000869760227088911,0.645233477406278,88666.2520322961,"2021","Q4","Kusko"
"E. Fork Kuskokwim",219.381286685962,482279.000693317,81,0.247423660815226,0.000454884592467394,0.337457104009736,88666.2520322961,"2021","Q4","Kusko"
"Holitna and Hoholitna",1817.78621663503,1503589.57361482,477,2.05014441793809,0.0012089643666954,0.896872791015088,88666.2520322961,"2021","Q4","Kusko"
"Holokuk",85.9707698086532,94046.4282567086,21,0.096959968238354,0.000914131152051707,0.678150142617909,88666.2520322961,"2021","Q4","Kusko"
"Johnson",989.460231545016,921707.3443104,200,1.11593781045872,0.00107350802578806,0.796384215936299,88666.2520322961,"2021","Q4","Kusko"
"Kisaralik",836.250675124436,739566.396599419,237,0.94314426961437,0.00113073103235839,0.8388352252686,88666.2520322961,"2021","Q4","Kusko"
"Kwethluk",716.26181293259,794547.289014045,166,0.807817852356831,0.000901471596261312,0.668758624184841,88666.2520322961,"2021","Q4","Kusko"
"N. Fork Kusko",248.550303406201,1363687.88890357,177,0.280321201933367,0.000182263335642028,0.135212443840516,88666.2520322961,"2021","Q4","Kusko"
"Oskakawlik",143.480623126134,163017.522868541,25,0.161821008374045,0.000880154603022883,0.652944567337112,88666.2520322961,"2021","Q4","Kusko"
"Stony",1379.77816432189,1169153.03736501,299,1.55614806388717,0.00118015188792699,0.875498192258538,88666.2520322961,"2021","Q4","Kusko"
"Swift",800.974801805771,819725.225840815,277,0.903359264034326,0.000977125964354932,0.724882978329435,88666.2520322961,"2021","Q4","Kusko"
"Takotna and Nixon Fork",437.794614606903,891604.682860539,127,0.493755633707669,0.000491018747459159,0.364263303870713,88666.2520322961,"2021","Q4","Kusko"
"Tuluksak",856.405322948207,635326.11331816,189,0.965875181727842,0.00134797752680966,1,88666.2520322961,"2021","Q4","Kusko"
