"HUC8","Name","total_production_all","total_production_window","huc_pct_of_total_run","huc_pct_in_window","protection_percentage","year","watershed","closure_start_date","closure_end_date","closure_start_doy","closure_end_doy","overall_window_pct"
"19030404","Holitna River",13059.2184506806,1610.27443158995,29.7361922568662,3.66663826513899,12.3305574347447,2019,"Kusko","06-01","06-11",153,163,24.246223646393
"19030502","Kuskokwim Delta",7261.76108693356,1743.74233487481,16.535225643096,3.97054827684361,24.012664613993,2019,"Kusko","06-01","06-11",153,163,24.246223646393
"19030501","Aniak",7105.12375997558,604.142753543275,16.1785582294514,1.37564932678028,8.50291668311984,2019,"Kusko","06-01","06-11",153,163,24.246223646393
"19030403","Takotna River",375.784653866949,0,0.855671781337356,0,0,2019,"Kusko","06-01","06-11",153,163,24.246223646393
"19030401","North Fork Kuskokwim River",153.588873201295,99.099055589609,0.349726002308441,0.225651219528601,64.5222883168945,2019,"Kusko","06-01","06-11",153,163,24.246223646393
"19030406","Middle Fork Kuskokwim River",0,0,0,0,0,2019,"Kusko","06-01","06-11",153,163,24.246223646393
"19030407","South Fork Kuskokwim River",0,0,0,0,0,2019,"Kusko","06-01","06-11",153,163,24.246223646393
"19030405","Stony River",19881.0928707567,3832.40369435517,43.0014846693282,8.28923489170433,19.2766248780634,2020,"Kusko","06-01","06-11",153,163,13.2144242635041
"19030404","Holitna River",11641.3828944195,473.053451345192,25.1795387365497,1.0231832257931,4.06355031558971,2020,"Kusko","06-01","06-11",153,163,13.2144242635041
"19030502","Kuskokwim Delta",8709.61347701662,529.869037312489,18.8383160242966,1.14607156824158,6.08372620335833,2020,"Kusko","06-01","06-11",153,163,13.2144242635041
"19030501","Aniak",5035.97330742743,1241.23306278419,10.8924761019058,2.68470475276976,24.6473320450989,2020,"Kusko","06-01","06-11",153,163,13.2144242635041
"19030403","Takotna River",820.98736378807,0,1.77574119124877,0,0,2020,"Kusko","06-01","06-11",153,163,13.2144242635041
"19030401","North Fork Kuskokwim River",144.453472899978,32.9320435512589,0.312443276670996,0.07122982499529,22.7976821118463,2020,"Kusko","06-01","06-11",153,163,13.2144242635041
"19030406","Middle Fork Kuskokwim River",0,0,0,0,0,2020,"Kusko","06-01","06-11",153,163,13.2144242635041
"19030407","South Fork Kuskokwim River",0,0,0,0,0,2020,"Kusko","06-01","06-11",153,163,13.2144242635041
"19030405","Stony River",16292.9030699687,4937.54825511515,37.8895490353303,11.4823905796952,30.3049016735152,2021,"Kusko","06-01","06-11",153,163,15.1134802019978
"19030404","Holitna River",11225.8509814868,485.489945275061,26.105994088331,1.12901887457768,4.32474959872273,2021,"Kusko","06-01","06-11",153,163,15.1134802019978
"19030502","Kuskokwim Delta",8914.87858631493,515.229599927337,20.7317706298025,1.1981791769745,5.77943485083753,2021,"Kusko","06-01","06-11",153,163,15.1134802019978
"19030501","Aniak",5842.18754537674,242.74572029287,13.5861516221844,0.564511175979822,4.15504840280194,2021,"Kusko","06-01","06-11",153,163,15.1134802019978
"19030403","Takotna River",522.040450383114,152.141677007145,1.2140179781512,0.35380923255506,29.1436567598337,2021,"Kusko","06-01","06-11",153,163,15.1134802019978
"19030401","North Fork Kuskokwim River",203.187108622344,165.79963954431,0.472516646200613,0.385571162215616,81.5994876193032,2021,"Kusko","06-01","06-11",153,163,15.1134802019978
"19030406","Middle Fork Kuskokwim River",0,0,0,0,0,2021,"Kusko","06-01","06-11",153,163,15.1134802019978
"19030407","South Fork Kuskokwim River",0,0,0,0,0,2021,"Kusko","06-01","06-11",153,163,15.1134802019978
