year,cluster,closure_protection_pct,offset_label,n_units,cluster_total_production,cluster_closure_production
2021,Cluster 3,23.19322185779176,+6 days (June 17),1,51534.665143589875,11952.549220422878
2021,Cluster 4,16.405617031417865,+6 days (June 17),4,129669.06930779091,21273.01091883998
2021,Cluster 5,12.673196735468675,+6 days (June 17),5,90403.45983865332,11457.008321022948
2021,Cluster 6,9.33450354487842,+6 days (June 17),2,53829.34303536333,5024.701933820755
2022,Cluster 1,30.938563146123794,+6 days (June 17),2,1992.0609236272762,616.3150267656818
2022,Cluster 2,22.41903716854266,+6 days (June 17),5,123157.85987756812,27610.806381933682
2022,Cluster 3,15.291302934029389,+6 days (June 17),1,50794.986042324985,7767.215191029858
2022,Cluster 4,14.241029012712977,+6 days (June 17),4,125121.7600429754,17818.62614893724
2022,Cluster 5,13.0258364300734,+6 days (June 17),5,100531.03471222073,13095.008143074185
2022,Cluster 6,12.311040057849674,+6 days (June 17),2,56662.99055023749,6975.803464615312
