year,cluster,offset_label,foregone_proportion_pct,remaining_proportion_pct,closure_protection_pct,cluster_total_production,cluster_closure_production
2018,Cluster 3,+3 days (June 14),17.341209899999996,82.6587901,13.271171362936796,47254.3687764496,6271.208256796726
2018,Cluster 4,+3 days (June 14),17.341209899999996,82.6587901,6.745381075127764,108783.17257052967,7337.839535496085
2018,Cluster 5,+3 days (June 14),17.341209899999996,82.6587901,10.45492325140335,96028.66338228421,10039.723055966288
2018,Cluster 6,+3 days (June 14),17.341209899999996,82.6587901,9.139337401511554,63797.06205051251,5830.628753048023
2019,Cluster 1,+3 days (June 14),28.106430000000003,71.89357,47.12268113589143,2262.47339686705,1066.1381245900313
2019,Cluster 2,+3 days (June 14),28.106430000000003,71.89357,39.074918537499485,111907.6522904602,43727.823969725505
2019,Cluster 3,+3 days (June 14),28.106430000000003,71.89357,26.01964657078281,53151.39148043581,13829.804210662562
2019,Cluster 4,+3 days (June 14),28.106430000000003,71.89357,20.51856683166834,140135.68563663415,28753.834312369432
2019,Cluster 5,+3 days (June 14),28.106430000000003,71.89357,20.232856748437452,96160.90934271505,19456.099035306343
2019,Cluster 6,+3 days (June 14),28.106430000000003,71.89357,15.707650121158814,53205.79589213908,8357.380262915096
2020,Cluster 1,+3 days (June 14),15.35499,84.64501,40.67607318020111,2908.339071656367,1182.9981291153256
2020,Cluster 2,+3 days (June 14),15.35499,84.64501,21.169459314750437,137455.10838695487,29098.50324602253
2020,Cluster 3,+3 days (June 14),15.35499,84.64501,11.481103418321585,55609.05073116319,6384.532624391761
2020,Cluster 4,+3 days (June 14),15.35499,84.64501,7.380397020073868,134967.69354936507,9961.15163277977
2020,Cluster 5,+3 days (June 14),15.35499,84.64501,12.702550613732857,92301.56813075558,11724.653409078344
2020,Cluster 6,+3 days (June 14),15.35499,84.64501,15.312596375097062,49360.14936329551,7558.320442146483
2021,Cluster 1,+3 days (June 14),21.034907599999997,78.9650924,54.997450138654216,3300.24191070316,1815.0488992939395
2021,Cluster 2,+3 days (June 14),21.034907599999997,78.9650924,34.460263776610184,115511.60536182937,39805.60390028339
2021,Cluster 3,+3 days (June 14),21.034907599999997,78.9650924,18.632333909467043,51534.665143589875,9602.11088867939
2021,Cluster 4,+3 days (June 14),21.034907599999997,78.9650924,13.175590107400282,129669.06930779091,17084.665068075312
2021,Cluster 5,+3 days (June 14),21.034907599999997,78.9650924,8.414170497473078,90403.45983865332,7606.70124643889
2021,Cluster 6,+3 days (June 14),21.034907599999997,78.9650924,7.485514047412331,53829.34303536333,4029.4030345418932
2022,Cluster 1,+3 days (June 14),13.083360900000002,86.9166391,21.38655162447878,1992.0609236272762,426.03313782261625
2022,Cluster 2,+3 days (June 14),13.083360900000002,86.9166391,16.47470889175333,123157.85987756812,20289.898892142824
2022,Cluster 3,+3 days (June 14),13.083360900000002,86.9166391,10.92196733033399,50794.986042324985,5547.811780990445
2022,Cluster 4,+3 days (June 14),13.083360900000002,86.9166391,9.153514736216248,125121.7600429754,11453.038743746887
2022,Cluster 5,+3 days (June 14),13.083360900000002,86.9166391,9.429954534415241,100531.03471222073,9480.030866339619
2022,Cluster 6,+3 days (June 14),13.083360900000002,86.9166391,7.466678038292414,56662.99055023749,4230.843071254289
2017,Cluster 1,+6 days (June 17),11.8765432,88.1234568,21.90942964038818,3146.7650585852016,689.4382764590446
2017,Cluster 2,+6 days (June 17),11.8765432,88.1234568,14.630225661589296,111127.38190590193,16258.186744649603
2017,Cluster 3,+6 days (June 17),11.8765432,88.1234568,11.600141542051288,51479.38541473646,5971.681573087536
2017,Cluster 4,+6 days (June 17),11.8765432,88.1234568,9.650157892249137,122699.8567106286,11840.729906139108
2017,Cluster 5,+6 days (June 17),11.8765432,88.1234568,9.7567548542674,95733.129581944,9340.446767628422
2017,Cluster 6,+6 days (June 17),11.8765432,88.1234568,7.019521536749898,61696.20682453911,4330.778525406284
2018,Cluster 1,+6 days (June 17),26.884042300000004,73.1159577,52.465249609141736,3190.5286265710233,1673.9188077816093
2018,Cluster 2,+6 days (June 17),26.884042300000004,73.1159577,43.804941732381124,99586.04311490823,43623.608160069496
2018,Cluster 3,+6 days (June 17),26.884042300000004,73.1159577,26.036879085380487,47254.3687764496,12303.562860883974
2018,Cluster 4,+6 days (June 17),26.884042300000004,73.1159577,16.520679209852712,108783.17257052967,17971.718974677693
2018,Cluster 5,+6 days (June 17),26.884042300000004,73.1159577,16.52096982876623,96028.66338228421,15864.866504354659
2018,Cluster 6,+6 days (June 17),26.884042300000004,73.1159577,15.878796865831637,63797.06205051251,10130.205889369447
2019,Cluster 1,+6 days (June 17),39.572840899999996,60.427159100000004,68.65976802148154,2262.47339686705,1553.4089858366497
2019,Cluster 2,+6 days (June 17),39.572840899999996,60.427159100000004,51.47351304642278,111907.6522904602,57602.800001675474
2019,Cluster 3,+6 days (June 17),39.572840899999996,60.427159100000004,33.22156124432769,53151.39148043581,17657.72207288535
2019,Cluster 4,+6 days (June 17),39.572840899999996,60.427159100000004,27.013648977208014,140135.68563663415,37855.762209684064
2019,Cluster 5,+6 days (June 17),39.572840899999996,60.427159100000004,24.042759479038512,96160.90934271505,23119.73614612525
2019,Cluster 6,+6 days (June 17),39.572840899999996,60.427159100000004,18.46287945365919,53205.79589213908,9823.321957925591
2020,Cluster 1,+6 days (June 17),21.85616209999999,78.14383790000001,49.99083466147813,2908.339071656367,1453.9029767069026
2020,Cluster 2,+6 days (June 17),21.85616209999999,78.14383790000001,30.1375182642169,137455.10838695487,41425.55839521766
2020,Cluster 3,+6 days (June 17),21.85616209999999,78.14383790000001,17.940526026096286,55609.05073116319,9976.55621928942
2020,Cluster 4,+6 days (June 17),21.85616209999999,78.14383790000001,10.527875511756484,134967.69354936507,14209.23075796614
2020,Cluster 5,+6 days (June 17),21.85616209999999,78.14383790000001,17.847343379461947,92301.56813075558,16473.377808923964
2020,Cluster 6,+6 days (June 17),21.85616209999999,78.14383790000001,22.74338843529501,49360.14936329551,11226.170501936094
2021,Cluster 1,+6 days (June 17),25.681721999999993,74.318278,67.42259920002616,3300.24191070316,2225.108876084677
2021,Cluster 2,+6 days (June 17),25.681721999999993,74.318278,41.38613226044251,115511.60536182937,47805.785771207105
2021,Cluster 3,+6 days (June 17),25.681721999999993,74.318278,23.19322185779176,51534.665143589875,11952.549220422878
2021,Cluster 4,+6 days (June 17),25.681721999999993,74.318278,16.405617031417865,129669.06930779091,21273.01091883998
2021,Cluster 5,+6 days (June 17),25.681721999999993,74.318278,12.673196735468675,90403.45983865332,11457.008321022948
2021,Cluster 6,+6 days (June 17),25.681721999999993,74.318278,9.33450354487842,53829.34303536333,5024.701933820755
2022,Cluster 1,+6 days (June 17),17.739940700000005,82.2600593,30.938563146123794,1992.0609236272762,616.3150267656818
2022,Cluster 2,+6 days (June 17),17.739940700000005,82.2600593,22.41903716854266,123157.85987756812,27610.806381933682
2022,Cluster 3,+6 days (June 17),17.739940700000005,82.2600593,15.291302934029389,50794.986042324985,7767.215191029858
2022,Cluster 4,+6 days (June 17),17.739940700000005,82.2600593,14.241029012712977,125121.7600429754,17818.62614893724
2022,Cluster 5,+6 days (June 17),17.739940700000005,82.2600593,13.0258364300734,100531.03471222073,13095.008143074185
2022,Cluster 6,+6 days (June 17),17.739940700000005,82.2600593,12.311040057849674,56662.99055023749,6975.803464615312
