"year","stock","day_5_percent","day_100_percent","duration_5_to_100","stock_clean","stock_ordered"
2017,"Takotna.and.Nixon.Fork",164.193843666009,200,35.8061563339915,"Takotna and Nixon Fork","Takotna and Nixon Fork"
2018,"Takotna.and.Nixon.Fork",162.25457135725,197,34.7454286427496,"Takotna and Nixon Fork","Takotna and Nixon Fork"
2019,"Takotna.and.Nixon.Fork",156.580655085653,182,25.4193449143474,"Takotna and Nixon Fork","Takotna and Nixon Fork"
2020,"Takotna.and.Nixon.Fork",161.483324423233,201,39.5166755767675,"Takotna and Nixon Fork","Takotna and Nixon Fork"
2021,"Takotna.and.Nixon.Fork",160.062692951181,198,37.9373070488188,"Takotna and Nixon Fork","Takotna and Nixon Fork"
2022,"Takotna.and.Nixon.Fork",160.509317849794,203,42.4906821502058,"Takotna and Nixon Fork","Takotna and Nixon Fork"
2017,"Tatlawiksuk",164.150652153081,200,35.8493478469186,"Tatlawiksuk","Tatlawiksuk"
2018,"Tatlawiksuk",157.058246934551,197,39.9417530654493,"Tatlawiksuk","Tatlawiksuk"
2019,"Tatlawiksuk",155.189987100792,182,26.8100128992079,"Tatlawiksuk","Tatlawiksuk"
2020,"Tatlawiksuk",157.162604404692,201,43.8373955953081,"Tatlawiksuk","Tatlawiksuk"
2021,"Tatlawiksuk",157.151511497356,195,37.8484885026435,"Tatlawiksuk","Tatlawiksuk"
2022,"Tatlawiksuk",158.171814126078,203,44.8281858739217,"Tatlawiksuk","Tatlawiksuk"
2017,"Tuluksak",162.414375820949,200,37.5856241790514,"Tuluksak","Tuluksak"
2018,"Tuluksak",161.858663042237,198,36.1413369577631,"Tuluksak","Tuluksak"
2019,"Tuluksak",158.880186358183,185,26.1198136418166,"Tuluksak","Tuluksak"
2020,"Tuluksak",160.072407945367,201,40.9275920546335,"Tuluksak","Tuluksak"
2021,"Tuluksak",163.782980866419,198,34.2170191335812,"Tuluksak","Tuluksak"
2022,"Tuluksak",162.240587564102,203,40.7594124358984,"Tuluksak","Tuluksak"
2017,"Upper.Kusko.Main",164.257953248658,200,35.7420467513423,"Upper Kusko Main","Upper Kusko Main"
2018,"Upper.Kusko.Main",158.116801261812,197,38.8831987381883,"Upper Kusko Main","Upper Kusko Main"
2019,"Upper.Kusko.Main",155.87977111528,182,26.1202288847198,"Upper Kusko Main","Upper Kusko Main"
2020,"Upper.Kusko.Main",157.813070431025,201,43.1869295689747,"Upper Kusko Main","Upper Kusko Main"
2021,"Upper.Kusko.Main",158.4676366076,198,39.5323633923999,"Upper Kusko Main","Upper Kusko Main"
2022,"Upper.Kusko.Main",158.113454703562,203,44.8865452964379,"Upper Kusko Main","Upper Kusko Main"
