"year","quartile","Name","total_run_prop","cpue_prop_in_quartile"
"2019","Q3","Holitna River",0.097548929130148,0.328931939991968
"2019","Q3","Stony River",0.0940797948322498,0.328931939991968
"2019","Q3","Aniak",0.0816039967150538,0.328931939991968
"2019","Q3","Kuskokwim Delta",0.0786882832814034,0.328931939991968
"2019","Q3","Takotna River",0.0253099085861755,0.328931939991968
"2019","Q3","Middle Fork Kuskokwim River",0.0152504302156011,0.328931939991968
"2019","Q3","South Fork Kuskokwim River",0.00459731563134524,0.328931939991968
"2019","Q3","North Fork Kuskokwim River",0.000861492378784822,0.328931939991968
"2019","Q4","Holitna River",0.0522783541203197,0.220460520605141
"2019","Q4","Stony River",0.0502764615646782,0.220460520605141
"2019","Q4","Aniak",0.0494599475044535,0.220460520605141
"2019","Q4","Kuskokwim Delta",0.0464428089671312,0.220460520605141
